round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,batch_size,epochs,weight_regulizer,emb_output_dims,optimizer,losses,activation
20,5542.76599122971,0.023622047244094488,5281.2273148946115,0.010169491525423728,2,1,1,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27873.775267593504,0.0,28930.884205342954,0.0,4,1,4,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5460.222401055764,0.007874015982695453,5951.494072762182,0.006779661218998796,4,1,3,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27873.711429625986,0.0,28930.675489936442,0.0,9,1,4,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,25665.41534207562,0.0,26748.75792055292,0.0,6,1,1,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5162.663995217151,0.007874015748031496,5639.23575294624,0.013559322134923127,5,1,4,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27178.80399400606,0.0,28283.517451709813,0.0,9,1,1,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,5361.738015963337,0.015748031496062992,5859.248351430085,0.006779661016949152,4,1,4,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5474.975849301796,0.007874015748031496,5989.847919425318,0.003389830508474576,3,1,4,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,4808.481894185224,0.015748031496062992,5277.369997237901,0.010169491525423728,2,1,2,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5445.728304645208,0.0,5953.5858632233185,0.010169491828498193,7,1,3,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,4850.657514277405,0.015748031496062992,5301.90567341255,0.010169491525423728,3,1,1,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5332.41754157149,0.015748031496062992,5648.98900053731,0.013559322033898305,4,1,1,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,4387.233337605094,0.015748031496062992,4758.5919699196465,0.01694915254237288,7,1,1,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5359.336707287886,0.007874015748031496,5902.439161294194,0.010169491525423728,3,1,2,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27175.541177103838,0.0,28279.507671291547,0.0,8,1,1,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
